,Date,Name,Place,URL
1044,dim. 02.08.2009,"Course pédestre Thyon-Dixence, Thyon",Thyon-Les Collons,http://services.datasport.com/2009/lauf/thyon
1045,dim. 27.09.2009,"Pfäffikerseelauf, Wetzikon",Wetzikon ZH,http://services.datasport.com/2009/zkb/pfaeffiker
1046,sam. 26.09.2009,A travers Carouge - Run to Run,Carouge GE,http://services.datasport.com/2009/lauf/carouge
1047,dim. 20.09.2009,"Stralugano, Lugano",Lugano,http://services.datasport.com/2009/lauf/stralugano
1048,sam. 19.09.2009,"Int Greifenseelauf, Uster",Uster,http://services.datasport.com/2009/lauf/Greifenseelauf
1049,sam. 19.09.2009,"Gantrisch-Halbmarathon, Plaffeien-Gurnigel",Plaffeien,http://services.datasport.com/2009/lauf/gantrisch
1050,dim. 13.09.2009,Neeracher Kinder- und Jugendlauf,Neerach,http://services.datasport.com/2009/lauf/neerach
1051,sam. 12.09.2009,Altstätter Städtlilauf,Altstätten SG,http://services.datasport.com/2009/lauf/altstaeter
1052,sam. 12.09.2009,"Burgdorfer Stadtlauf, Burgdorf",Burgdorf,http://services.datasport.com/2009/lauf/burgdorf
1053,sam. 12.09.2009,Türlerseelauf Affoltern am Albis,Affoltern am Albis,http://services.datasport.com/2009/zkb/affoltern
1054,mer. 09.09.2009,Tour du Pays de Vaud etape 5 - La Sarraz,Penthaz,http://services.datasport.com/2009/lauf/tdpv/etape1
1055,sam. 05.09.2009,"Jungfrau-Marathon, Interlaken",Interlaken,http://services.datasport.com/2009/lauf/jungfrau
1056,sam. 05.09.2009,"Birslauf (Herbst), Basel",Basel,http://services.datasport.com/2009/lauf/birslaufhe
1057,sam. 05.09.2009,"Rütilauf, Rüti ZH",Rüti ZH,http://services.datasport.com/2009/zkb/rueti
1058,ven. 04.09.2009,"Jungfrau Minirun + Minimarathon, Interlaken",Interlaken,http://services.datasport.com/2009/lauf/jmprolog
1059,mer. 02.09.2009,Tour du Pays de Vaud etape 4 - Saint-Prex,Champvent,http://services.datasport.com/2009/lauf/tdpv/etape4
1060,dim. 25.10.2009,Lausanne Marathon,Lausanne,http://services.datasport.com/2009/lauf/lamara
1061,dim. 25.10.2009,"Lucerne Marathon, Luzern",Luzern,http://services.datasport.com/2009/lauf/lucernemarathon
1062,sam. 24.10.2009,"Glarner Stadtlauf, Glarus",Glarus,http://services.datasport.com/2009/lauf/glarus
1063,sam. 24.10.2009,Herbstlauf Burgdorf,Burgdorf,http://services.datasport.com/2009/lauf/burgherbst
1064,dim. 18.10.2009,"Bremgartenlauf, Bremgarten b.Bern",Bremgarten b. Bern,http://services.datasport.com/2009/lauf/bremgarten
1065,sam. 17.10.2009,"Üetliberglauf, Zürich",Zürich,http://services.datasport.com/2009/zkb/uetliberg
1066,sam. 17.10.2009,"Bürenlauf, Büren an der Aare",Büren an der Aare,http://services.datasport.com/2009/lauf/bueren
1067,dim. 11.10.2009,"Brienzerseelauf, Bönigen",Bönigen b. Interlaken,http://services.datasport.com/2009/lauf/brienzer
1068,dim. 11.10.2009,Schlosslauf Rapperswil-Jona,Rapperswil SG,http://services.datasport.com/2009/lauf/schloss
1069,sam. 10.10.2009,"Hallwilerseelauf, Beinwil am See",Beinwil am See,http://services.datasport.com/2009/lauf/hallwil
1070,sam. 03.10.2009,Morat-Fribourg,Murten,http://services.datasport.com/2009/lauf/morat
1071,dim. 29.11.2009,"Int. Bieler Cross, Biel-Bienne",Biel/Bienne,http://services.datasport.com/2009/lauf/bielercross
1072,dim. 29.11.2009,"Course de l'Avent, Yverdon",Fribourg,http://services.datasport.com/2009/lauf/YverdonNoel
1073,sam. 28.11.2009,Basler Stadtlauf,Basel,http://services.datasport.com/2009/lauf/basel
1074,sam. 21.11.2009,"Corrida Bulloise, Bulle",Bulle,http://services.datasport.com/2009/lauf/corrida
1075,sam. 21.11.2009,Langenthaler Stadtlauf,Langenthal,http://services.datasport.com/2009/lauf/langenthal
1076,dim. 15.11.2009,Frauenfelder,Frauenfeld,http://services.datasport.com/2009/waffenlauf/frauenfelder
1077,dim. 08.11.2009,"Maratona Ticino, Tenero",Tenero,http://services.datasport.com/2009/lauf/tenero
1078,sam. 07.11.2009,"Kyburglauf, Kyburg",Kyburg,http://services.datasport.com/2009/lauf/kyburg
1079,dim. 01.11.2009,"Walliseller Lauf, Wallisellen",Wallisellen,http://services.datasport.com/2009/lauf/wallisellen
1080,dim. 01.11.2009,"Gurtenclassic, Wabern",Wabern,http://services.datasport.com/2009/lauf/gurten
1081,jeu. 31.12.2009,Gippinger Stauseelauf,Leuggern,http://services.datasport.com/2009/lauf/gippingen
1082,jeu. 31.12.2009,Silvesterlauf Gersau,Gersau,http://services.datasport.com/2009/lauf/gersau
1083,sam. 19.12.2009,"Christmas Midnight Run, Lausanne",Lausanne,http://services.datasport.com/2009/lauf/midnight
1084,sam. 19.12.2009,"La Trotteuse-Tissot, La Chaux-de-Fonds",La Chaux-de-Fonds,http://services.datasport.com/2009/lauf/trotteuse
1085,dim. 13.12.2009,"Zürcher Silvesterlauf, Zürich",Zürich,http://services.datasport.com/2009/lauf/silvester
1086,sam. 12.12.2009,Course Titzé de noël Sion,Sion,http://services.datasport.com/2009/lauf/sion
1087,sam. 12.12.2009,"Swiss Snow Walk & Run, Leysin",Leysin,http://services.datasport.com/2009/lauf/leysin
1088,dim. 06.12.2009,"Steinhölzlilauf, Liebefeld",Liebefeld,http://services.datasport.com/2009/lauf/steinhlzli
1089,sam. 05.12.2009,"Course de l'Escalade, Genève",Genève,http://services.datasport.com/2009/lauf/escalade
1090,sam. 05.12.2009,Gossauer Weihnachtslauf,Gossau SG,http://services.datasport.com/2009/lauf/gossau
1091,sam. 05.12.2009,Chlauslauf Niederrohrdorf,Niederrohrdorf,http://services.datasport.com/2009/lauf/chlaus
1092,sam. 09.01.2010,"Dietiker Neujahrslauf, Dietikon",Dietikon,http://services.datasport.com/2010/zkb/zhneujahr
1093,sam. 09.01.2010,"Swiss Snow Walk & Run, Arosa",Arosa,http://services.datasport.com/2010/lauf/arosa
1094,ven. 01.01.2010,"Neujahrsmarathon Zürich, Schlieren",Schlieren,http://services.datasport.com/2010/lauf/neujahrsmarathon/
1095,sam. 27.02.2010,ASICS Bremgarter Reusslauf,Bremgarten AG,http://services.datasport.com/2010/lauf/reuss
1096,sam. 13.02.2010,"Tower-Running, Basel",Basel,http://services.datasport.com/2010/lauf/tower
1097,sam. 27.03.2010,"Badener Limmat-Lauf, Baden",Baden,http://services.datasport.com/2010/lauf/baden
1098,sam. 27.03.2010,Männedörfler Waldlauf,Männedorf,http://services.datasport.com/2010/zkb/maennedorf
1099,sam. 27.03.2010,10km de Payerne,Payerne,http://services.datasport.com/2010/lauf/sm10km09
1100,sam. 27.03.2010,Birslauf Basel,Basel,http://services.datasport.com/2010/lauf/birslauffr
1101,dim. 21.03.2010,"FISHERMAN'S FRIEND StrongmanRun, Thun",Engelberg,http://services.datasport.com/2010/lauf/strongmanrun_ch
1102,dim. 21.03.2010,Tour de Presinge,Presinge,http://services.datasport.com/2010/lauf/presinge
