,date,name,location,url,min_temp,max_temp,uv_index,weather_desc,latitude,longitude,weekday,day,month,year
39,sam. 11.09.1999,"Münsiger-Louf, Münsingen",Münsingen,http://services.datasport.com/1999/lauf/muensingen,,,,,46.8746813,7.5627528,saturday,11,9,1999
40,sam. 11.09.1999,St. Galler Altstadtlauf,St. Gallen,http://services.datasport.com/1999/lauf/gallen,,,,,47.4244818,9.3767173,saturday,11,9,1999
41,dim. 05.09.1999,Zolliker Berglauf,Zollikon,http://services.datasport.com/1999/lauf/zolikerberg,,,,,47.3412096,8.577214600000001,sunday,5,9,1999
42,dim. 05.09.1999,"Panoramalauf, Richterswil",Richterswil,http://services.datasport.com/1999/zkb/panorama,,,,,,,sunday,5,9,1999
43,sam. 04.09.1999,"Jungfrau-Marathon, Interlaken",Interlaken,http://services.datasport.com/1999/lauf/jungfrau,,,,,,,saturday,4,9,1999
44,dim. 31.10.1999,"Course d automne des Dames, Bex",Bex,http://services.datasport.com/1999/lauf/bex,,,,,46.24998470000001,7.014266399999999,sunday,31,10,1999
45,dim. 31.10.1999,"Badener Limmat-Lauf, Baden",Baden,http://services.datasport.com/1999/lauf/baden,,,,,48.5699281,8.5303972,sunday,31,10,1999
46,dim. 24.10.1999,Lausanne Marathon,Lausanne,http://services.datasport.com/1999/lauf/lamara,,,,,46.5196535,6.6322734,sunday,24,10,1999
47,sam. 23.10.1999,"Üetliberglauf, Zürich",Zürich,http://services.datasport.com/1999/zkb/uetliberg,,,,,47.3768866,8.541694,saturday,23,10,1999
48,dim. 17.10.1999,"Brienzerseelauf, Bönigen",Bönigen b. Interlaken,http://services.datasport.com/1999/lauf/brienzer,,,,,,,sunday,17,10,1999
49,dim. 17.10.1999,Schlosslauf Rapperswil-Jona,Rapperswil SG,http://services.datasport.com/1999/lauf/schloss,,,,,47.2266239,8.818437399999999,sunday,17,10,1999
50,sam. 16.10.1999,"Hallwilerseelauf, Beinwil am See",Beinwil am See,http://services.datasport.com/1999/lauf/hallwil,,,,,,,saturday,16,10,1999
51,dim. 10.10.1999,"Pfäffikerseelauf, Wetzikon",Wetzikon ZH,http://services.datasport.com/1999/zkb/pfaeffikersee,,,,,,,sunday,10,10,1999
52,sam. 09.10.1999,Stadtlauf Laufenburg,Laufenburg,http://services.datasport.com/1999/lauf/laufenburg,,,,,,,saturday,9,10,1999
53,dim. 03.10.1999,Morat-Fribourg,Murten,http://services.datasport.com/1999/lauf/morat/rangliste,,,,,46.92922110000001,7.120184,sunday,3,10,1999
54,sam. 27.11.1999,Basler Stadtlauf,Basel,http://services.datasport.com/1999/lauf/basel,,,,,47.5595986,7.5885761,saturday,27,11,1999
55,sam. 20.11.1999,Langenthaler Stadtlauf,Langenthal,http://services.datasport.com/1999/lauf/langenthal,,,,,47.2120786,7.790562299999999,saturday,20,11,1999
56,dim. 14.11.1999,"Maratona Ticino, Tenero",Tenero,http://services.datasport.com/1999/lauf/tenero,,,,,,,sunday,14,11,1999
57,sam. 13.11.1999,"Glarner Stadtlauf, Glarus",Glarus,http://services.datasport.com/1999/lauf/glarus,,,,,,,saturday,13,11,1999
58,sam. 13.11.1999,"Kyburglauf, Kyburg",Kyburg,http://services.datasport.com/1999/lauf/kyburg,,,,,,,saturday,13,11,1999
