,city,latitude,longitude,distance,runners,population,canton
72,St-Sulpice VD,46.51011399999999,6.558195100000001,0.07469000328785677,56,nan,nan
73,D-Legau,47.8579596,10.1299662,3.744985733012753,1,nan,nan
74,Aadorf,47.4884348,8.9035411,2.4692497184960835,1,nan,nan
75,Bottmingen,47.5233885,7.5723451,1.3752158926386435,1,nan,nan
76,Nyon,46.3832683,6.2347852,0.4202354006009961,116,20088,VD
77,Satigny,46.215764,6.0332425,0.6717044345283555,6,nan,nan
78,La Chaux-de-Fonds,47.1034892,6.832783800000001,0.6173074963927236,30,38957,NE
79,Renens VD,46.53381,6.59137,0.04328388411187377,105,nan,nan
80,Crissier,46.55186870000001,6.5743458,0.06628292353842488,76,7730,VD
81,Mies,46.3033989,6.1695935,0.5107237432165938,14,nan,nan
82,Meyrin,46.2283204,6.070988,0.6323893384686111,24,22152,GE
83,QAT-Doha,25.2854473,51.53103979999999,49.66679713033533,1,nan,nan
84,F-Divonne les Bains,46.358168,6.136039999999999,0.5218478264645839,37,nan,nan
85,F-Nice,n,a,,2,nan,nan
86,Fribourg,46.8064773,7.161971899999999,0.6023689842187177,82,38489,FR
87,Sullens,46.5935962,6.5660091,0.09928988033923976,18,nan,nan
88,Villars-le-Terroir,46.65755,6.639048900000001,0.13806285565821466,9,nan,nan
89,F-Villeurbanne,45.771944,4.8901709,1.8957823231838875,4,nan,nan
90,Gumefens,46.6767042,7.0757631,0.4704763930066861,4,nan,nan
91,F-Nernier,46.364982,6.304619,0.3623267568805951,1,nan,nan
92,Muri b. Bern,46.9350521,7.498472799999999,0.9606546712749184,5,nan,nan
93,Arni-Islisberg,47.31862,8.42056,1.9586516872230808,1,nan,nan
94,F-Rennes,48.117266,-1.6777926,8.462243356493136,2,nan,nan
95,Lutry,46.5088803,6.6827638,0.05162695352623396,107,9747,VD
96,E-Barcelona,41.3850639,2.1734035,6.800406689717473,5,nan,nan
97,Noréaz,46.8036084,7.0269211,0.4861863761453038,3,nan,nan
98,Glion,46.432164,6.9255565,0.3060545529082347,6,nan,nan
99,Ain-Est Athletisme,n,a,,1,nan,nan
100,St-Prex,46.4829113,6.458343500000001,0.17776838688262225,54,nan,nan
101,F-Neuvecelle,46.394984,6.612114,0.12628889752709455,11,nan,nan
102,Corsier-sur-Vevey,46.4725243,6.8482854,0.22109352237602853,18,nan,nan
103,Belmont-sur-Lausanne,46.5191267,6.678912299999999,0.046641875085055004,41,nan,nan
104,Assens,55.2702263,9.9008188,9.341087375673188,6,nan,nan
105,Ins,47.0060765,7.105617199999999,0.6787206258302759,3,nan,nan
106,F-Douvaine,46.3048689,6.299196999999999,0.3963234949307427,17,nan,nan
107,Le Vaud,46.4781748,6.2388488,0.3956051041617758,11,nan,nan
108,Froideville,46.601503,6.6822073,0.09587875165781357,27,nan,nan
109,Châtel-St-Denis,46.5269159,6.901089499999999,0.26891418347303625,30,nan,nan
110,Onex,46.183541,6.1002345,0.6293147096401442,12,18635,GE
111,Unterengstringen,47.4136272,8.448918299999999,2.024694463119733,2,nan,nan
112,Sierre,46.29413110000001,7.533536199999999,0.9290505839649379,21,16711,VS
113,Ollon VD,46.2957462,6.9916269,0.4234021929035525,8,nan,nan
114,La Tour-de-Trême,46.60833299999999,7.06667,0.44335590648124745,14,21991,FR
115,F-Les Hopitaux Vieux,46.789994,6.369194999999999,0.3772190749243898,1,nan,nan
116,Marin-Epagnier,47.0091808,7.0015896,0.6132140189426004,11,nan,nan
117,F-Fontenay sous Bois,48.851542,2.475907,4.765824758368821,2,nan,nan
118,Les Charbonnières,46.6662974,6.315135,0.3494011994280649,2,nan,nan
119,Begnins,46.4408426,6.2477524,0.3925144040666642,8,nan,nan
120,F-Amoros,38.3407659,-0.7056422,10.988139411481683,1,nan,nan
121,Paudex,46.5051579,6.6723034,0.04257373978592768,12,nan,nan
122,Morges,46.5088127,6.496130099999999,0.1365742328535294,156,15676,VD
123,Eclépens,46.6525234,6.529665899999999,0.16787706627845575,12,nan,nan
124,Courrendlin,47.3393271,7.373463699999999,1.1050917931787618,1,nan,nan
125,Morrens VD,46.5910697,6.6256805,0.0717198713945461,6,nan,nan
126,Collombey,46.2710282,6.9459483,0.4002580201446275,13,nan,nan
