,city,latitude,longitude
164,F-Nernier,46.364982,6.304619
165,Muri b. Bern,46.9350521,7.498472799999999
166,Arni-Islisberg,47.31862,8.42056
167,Genève,46.2043907,6.1431577
168,Bern,46.9479739,7.4474468
169,F-Rennes,48.117266,-1.6777926
170,Lutry,46.5088803,6.6827638
171,Lausanne,46.5196535,6.6322734
172,Bex,46.24998470000001,7.014266399999999
173,E-Barcelona,41.3850639,2.1734035
174,Noréaz,46.8036084,7.0269211
175,Noréaz,46.8036084,7.0269211
176,Vevey,46.4628333,6.8419192
177,Lausanne,46.5196535,6.6322734
178,Pully,46.5092681,6.6654949
179,Glion,46.432164,6.9255565
180,Ain-Est Athletisme,n,a
181,St-Prex,46.4829113,6.458343500000001
182,F-Reignier,46.138178,6.2666019
183,Genève,46.2043907,6.1431577
184,Lausanne,46.5196535,6.6322734
185,F-Neuvecelle,46.394984,6.612114
186,Corsier-sur-Vevey,46.4725243,6.8482854
187,Lausanne,46.5196535,6.6322734
189,Zürich,47.3768866,8.541694
190,Genève,46.2043907,6.1431577
192,Zürich,47.3768866,8.541694
193,Meyrin,46.2283204,6.070988
194,Lausanne,46.5196535,6.6322734
195,Belmont-sur-Lausanne,46.5191267,6.678912299999999
196,Lutry,46.5088803,6.6827638
197,Genève,46.2043907,6.1431577
198,Meyrin,46.2283204,6.070988
199,Assens,55.2702263,9.9008188
200,Lausanne,46.5196535,6.6322734
201,Ins,47.0060765,7.105617199999999
202,F-Douvaine,46.3048689,6.299196999999999
203,Le Vaud,46.4781748,6.2388488
204,Lausanne,46.5196535,6.6322734
205,Froideville,46.601503,6.6822073
206,Châtel-St-Denis,46.5269159,6.901089499999999
207,Pully,46.5092681,6.6654949
208,Onex,46.183541,6.1002345
209,Unterengstringen,47.4136272,8.448918299999999
210,Sierre,46.29413110000001,7.533536199999999
211,Lausanne,46.5196535,6.6322734
212,St-Prex,46.4829113,6.458343500000001
213,Lausanne,46.5196535,6.6322734
214,Lausanne,46.5196535,6.6322734
215,Lausanne,46.5196535,6.6322734
216,Lausanne,46.5196535,6.6322734
217,Genève,46.2043907,6.1431577
218,Ollon VD,46.2957462,6.9916269
219,Genève,46.2043907,6.1431577
220,La Tour-de-Trême,46.60833299999999,7.06667
221,F-Les Hopitaux Vieux,46.789994,6.369194999999999
222,Marin-Epagnier,47.0091808,7.0015896
223,Lausanne,46.5196535,6.6322734
226,F-Fontenay sous Bois,48.851542,2.475907
227,Zürich,47.3768866,8.541694
228,Epalinges,46.54885729999999,6.674199
229,Les Charbonnières,46.6662974,6.315135
230,Genève,46.2043907,6.1431577
231,Begnins,46.4408426,6.2477524
232,Genève,46.2043907,6.1431577
233,F-Amoros,38.3407659,-0.7056422
234,Paudex,46.5051579,6.6723034
235,Morges,46.5088127,6.496130099999999
236,Eclépens,46.6525234,6.529665899999999
237,Morges,46.5088127,6.496130099999999
238,Courrendlin,47.3393271,7.373463699999999
239,Morrens VD,46.5910697,6.6256805
240,Pully,46.5092681,6.6654949
241,Pully,46.5092681,6.6654949
242,Collombey,46.2710282,6.9459483
243,Ecublens VD,46.5296363,6.561525199999999
244,Lausanne,46.5196535,6.6322734
245,Lausanne,46.5196535,6.6322734
246,DK-Snekkersten,56.010163,12.585491
247,Pully,46.5092681,6.6654949
248,Pully,46.5092681,6.6654949
249,F-Grenoble,45.188529,5.724524
250,Romanel-sur-Morges,46.5555532,6.5108738
251,Lausanne,46.5196535,6.6322734
252,Lausanne,46.5196535,6.6322734
